Name	description - not loaded	Id	Token	Selectable0	Selectable1	Selectable2	Selectable3	Selectable4	Selectable5	Selectable6	Selectable7	SizeX	SizeY	FrameCnt0	FrameCnt1	FrameCnt2	FrameCnt3	FrameCnt4	FrameCnt5	FrameCnt6	FrameCnt7	FrameDelta0	FrameDelta1	FrameDelta2	FrameDelta3	FrameDelta4	FrameDelta5	FrameDelta6	FrameDelta7	CycleAnim0	CycleAnim1	CycleAnim2	CycleAnim3	CycleAnim4	CycleAnim5	CycleAnim6	CycleAnim7	Lit0	Lit1	Lit2	Lit3	Lit4	Lit5	Lit6	Lit7	BlocksLight0	BlocksLight1	BlocksLight2	BlocksLight3	BlocksLight4	BlocksLight5	BlocksLight6	BlocksLight7	HasCollision0	HasCollision1	HasCollision2	HasCollision3	HasCollision4	HasCollision5	HasCollision6	HasCollision7	IsAttackable0	Start0	Start1	Start2	Start3	Start4	Start5	Start6	Start7	EnvEffect	IsDoor	BlocksVis	Orientation	Trans	OrderFlag0	OrderFlag1	OrderFlag2	OrderFlag3	OrderFlag4	OrderFlag5	OrderFlag6	OrderFlag7	PreOperate	Mode0	Mode1	Mode2	Mode3	Mode4	Mode5	Mode6	Mode7	Yoffset	Xoffset	Draw	Red	Green	Blue	HD	TR	LG	RA	LA	RH	LH	SH	S1	S2	S3	S4	S5	S6	S7	S8	TotalPieces	SubClass	Xspace	Yspace	NameOffset	MonsterOK	ShrineFunction	Restore	Parm0	Parm1	Parm2	Parm3	Parm4	Lockable	Gore	Sync	Damage	Overlay	CollisionSubst	Left	Top	Width	Height	OperateFn	PopulateFn	InitFn	ClientFn	RestoreVirgins	BlockMissile	DrawUnder	OpenWarp	AutoMap
Dummy	test data	0	NU0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Casket	Casket #5	1	C5	1	0	0	0	0	0	0	0	5	3	1	7	1	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	5	5	-90	1	0	1	0	0	0	0	0	0	0	1	100	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Shrine	Shrine	2	SF	1	0	0	0	0	0	0	0	3	3	1	21	1	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	20	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	-145	0	0	1	3	84	0	0	0	0	0	1	100	0	0	3	84	0	0	2	2	1	0	0	0	0	0	310
Casket	Casket #6	3	C6	1	0	0	0	0	0	0	0	5	3	1	7	1	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	5	5	-73	1	0	1	0	0	0	0	0	0	0	1	100	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
LargeUrn	Urn #1	4	U1	1	0	0	0	0	0	0	0	1	1	1	9	1	1	1	1	1	1	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	1	1	-57	1	0	1	0	0	0	0	0	0	0	1	100	0	0	0	0	0	0	3	1	2	0	1	0	1	0	0
chest	LargeChestR	5	L1	1	0	0	0	0	0	0	0	1	2	1	1	1	1	1	1	1	1	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	-50	1	0	1	15	0	0	0	0	1	0	1	100	0	0	15	0	0	0	4	3	3	0	1	0	0	0	0
chest	LargeChestL	6	L2	1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	1	1	1	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	-50	1	0	1	15	0	0	0	0	1	0	1	100	0	0	15	0	0	0	4	3	3	0	1	0	0	0	0
Barrel	Barrel	7	B1	1	0	0	1	1	1	1	1	1	1	1	10	1	0	0	0	0	0	210	160	0	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	-70	1	0	1	0	0	0	0	0	0	0	1	100	0	0	0	0	0	0	5	4	0	0	1	0	1	0	0
TowerTome	Tower Tome	8	TT	1	1	1	0	0	0	0	0	1	1	1	3	1	1	0	0	0	0	256	256	128	128	128	128	128	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-80	0	0	1	0	0	0	0	0	0	0	1	100	0	0	0	0	0	0	6	0	4	0	0	0	0	0	427
Urn	Urn #2	9	U2	1	0	0	0	0	0	0	0	1	1	1	9	1	1	1	1	1	1	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	-70	1	0	1	0	0	0	0	0	0	0	1	100	0	0	0	0	0	0	3	1	2	0	1	0	1	0	0
