Sound	*Index	Redirect	Channel	FileName	IsLocal	IsMusic	IsAmbientScene	IsAmbientEvent	IsUI	Volume Min	Volume Max	Pitch Min	Pitch Max	Group Size	Group Weight	Loop	Fade In	Fade Out	Defer Inst	Stop Inst	Duration	Compound	Falloff	LFEMix	3dSpread	Priority	Stream	Is2D	Tracking	Solo	Music Vol	Block 1	Block 2	Block 3	HDOptOut	Delay	4737
	0			none.wav	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	
cursor_pass	1	cursor_pass_hd_4	sfx/cursor-ui_sd	cursor\pass.wav	0	0	0	0	1	255	255	100	100	0	0	0	0	0	0	1	0	0	1	1	0	100	0	0	0	0	0	-1	-1	-1	0	0	
cursor_select	2	cursor_select_hd	sfx/cursor-ui_sd	cursor\select.wav	0	0	0	0	1	255	255	100	100	0	0	0	0	0	0	1	0	0	1	1	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_error	3	cursor_error_hd	sfx/cursor-ui_sd	cursor\windowopen.wav	0	0	0	0	1	255	255	100	100	0	0	0	0	0	1	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
cursor_button_click	4	cursor_button_hd_1	sfx/cursor-ui_sd	cursor\button.wav	0	0	0	0	1	142	160	100	100	0	0	0	0	0	0	1	0	0	1	1	0	100	0	0	0	0	0	-1	-1	-1	0	0	
cursor_point_drop	5	cursor_point_drop_hd_1	sfx/cursor-ui_sd	cursor\pointdrop.wav	0	0	0	0	1	220	220	100	100	0	0	0	0	0	0	1	0	0	1	1	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_switch	6	cursor_error_hd	sfx/cursor-ui_sd	cursor\windowopen.wav	0	0	0	0	1	255	255	100	100	0	0	0	0	0	1	0	0	0	1	1	0	100	0	0	0	0	0	-1	-1	-1	0	0	
cursor_level_up	7	cursor_level_up_hd_2	sfx/eax/player-skills_shouts	cursor\levelup.wav	0	0	0	0	1	255	255	100	100	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_level_up_hireling	8	cursor_level_up_hireling_hd_3	sfx/eax/player-skills_shouts	cursor\leveluphireling.wav	0	0	0	0	1	255	255	100	100	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_durability_break	9	cursor_durability_break_hd_4	sfx/cursor-ui_sd	cursor\itembroken.wav	0	0	0	0	1	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_convert_ready	10	cursor_convert_ready_hd_4	sfx/cursor-ui_sd	cursor\convertready.wav	0	0	0	0	1	255	255	100	100	0	0	0	0	0	1	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
cursor_convert_item	11	cursor_convert_item_hd_1	sfx/cursor-ui_sd	cursor\convert.wav	0	0	0	0	1	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_identify_ready	12	cursor_identify_ready_hd_1	sfx/cursor-ui_sd	cursor\identifyready.wav	0	0	0	0	1	255	255	100	100	0	0	0	0	0	1	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
cursor_identify_item	13	cursor_identify_item_hd_1	sfx/cursor-ui_sd	cursor\identify.wav	0	0	0	0	1	255	255	100	100	0	0	0	0	0	0	0	0	4	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_questdone	14	cursor_questdone_hd_1	sfx/cursor-ui_sd	cursor\questdone.wav	0	0	0	0	1	255	255	100	100	0	0	0	0	0	0	0	0	12	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_repair_item	15	cursor_repair_item_hd_1	sfx/cursor-ui_sd	cursor\repair.wav	0	0	0	0	1	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_hostile	16	cursor_hostile_hd_1	sfx/cursor-ui_sd	cursor\hostile.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_amazon_select	17	cursor_amazon_select_hd	sfx/player-intro-selection_sd	cursor\intro\amazon select.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_amazon_deselect	18	cursor_amazon_deselect_hd	sfx/player-intro-selection_sd	cursor\intro\amazon deselect.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_barbarian_select	19	cursor_barbarian_select_hd	sfx/player-intro-selection_sd	cursor\intro\barbarian select.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_barbarian_deselect	20	cursor_barbarian_deselect_hd	sfx/player-intro-selection_sd	cursor\intro\barbarian deselect.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_necromancer_select	21	cursor_necromancer_select_hd	sfx/player-intro-selection_sd	cursor\intro\necromancer select.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_necromancer_deselect	22	cursor_necromancer_deselect_hd	sfx/player-intro-selection_sd	cursor\intro\necromancer deselect.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_paladin_select	23	cursor_paladin_select_hd	sfx/player-intro-selection_sd	cursor\intro\paladin select.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_paladin_deselect	24	cursor_paladin_deselect_hd	sfx/player-intro-selection_sd	cursor\intro\paladin deselect.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_sorceress_select	25	cursor_sorceress_select_hd	sfx/player-intro-selection_sd	cursor\intro\sorceress select.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_sorceress_deselect	26	cursor_sorceress_deselect_hd	sfx/player-intro-selection_sd	cursor\intro\sorceress deselect.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
quest_anyasteam	27	quest_anyasteam_hd	sfx/ambient/event-3d_sd	quest\anyasteam.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
quest_anyaicevent	28	quest_anyaicevent_hd	sfx/ambient/event-3d_sd	quest\anyaicevent.wav	0	0	0	0	0	255	255	100	100	0	0	1	8	16	0	0	0	-1	1	0	0	255	0	0	0	0	0	-1	-1	-1	0	0	
quest_ancients_cloud	29	quest_ancients_cloud_hd	sfx/ambient/event-3d_sd	quest\ball1.wav	0	0	0	0	0	255	255	100	100	0	0	1	8	12	0	0	0	24	1	0	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_ancients_statue	30	quest_ancients_statue_hd	sfx/ambient/event-3d_sd	quest\ancientstatue.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	0	0	0	1	0	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_hellforge_flash_1	31	quest_hellforge_flash_hd_1	sfx/ambient/event-3d_sd	quest\pieceflash1.wav	0	0	0	0	0	80	80	100	100	2	0	0	0	0	0	0	0	0	1	0	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_hellforge_flash_2	32		sfx/ambient/event-3d_sd	quest\pieceflash2.wav	0	0	0	0	0	80	80	100	100	0	0	0	0	0	0	0	0	0	1	0	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_hellforge_flash_3	33		sfx/ambient/event-3d_sd	none.wav	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	1	0	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_hellforge_place	34	quest_hellforge_place_hd	sfx/ambient/event-3d_sd	object\hellforgeplace.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	0	0	0	1	0	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_hellforge_smash	35	quest_hellforge_smash_hd	sfx/ambient/event-3d_sd	object\hellforgesmash.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	0	0	0	1	0	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_hellforge_soul_1	36	quest_hellforge_soul_hd_1	sfx/ambient/event-3d_sd	quest\soulrise1.wav	0	0	0	0	0	224	224	100	100	3	0	0	0	6	0	0	0	12	1	0	0	50	0	0	1	0	0	-1	-1	-1	0	0	
quest_hellforge_soul_2	37		sfx/ambient/event-3d_sd	quest\soulrise2.wav	0	0	0	0	0	224	224	100	100	0	0	0	0	6	0	0	0	12	1	0	0	50	0	0	1	0	0	-1	-1	-1	0	0	
quest_hellforge_soul_3	38		sfx/ambient/event-3d_sd	quest\soulrise3.wav	0	0	0	0	0	224	224	100	100	0	0	0	0	6	0	0	0	12	1	0	0	50	0	0	1	0	0	-1	-1	-1	0	0	
quest_horadric_staff_spin	39	quest_horadric_staff_spin_hd	sfx/ambient/event-3d_sd	quest\staffloop.wav	0	0	0	0	0	255	255	100	100	0	0	1	3	6	1	0	0	0	1	0	0	100	0	0	1	0	0	25280	-1	-1	0	0	
quest_horadric_staff_light	40	quest_horadric_staff_light_hd	sfx/ambient/event-3d_sd	quest\spotlight.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	1	0	0	0	1	0	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_nihlathakdeath	41	quest_nihlathakdeath_hd	sfx/ambient/event-3d_sd	quest\nihlathakdeath.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	0	0	0	-1	1	0	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_radament_holybolt_1	42		sfx/ambient/event-3d_sd	skill\paladin\holybolt1.wav	0	0	0	0	0	224	224	100	100	3	0	1	0	6	0	0	0	12	1	0	0	50	0	0	1	0	0	26537	-1	-1	0	0	
quest_radament_holybolt_2	43		sfx/ambient/event-3d_sd	skill\paladin\holybolt2.wav	0	0	0	0	0	224	224	100	100	0	0	1	0	6	0	0	0	12	1	0	0	50	0	0	1	0	0	27948	-1	-1	0	0	
quest_radament_holybolt_3	44		sfx/ambient/event-3d_sd	skill\paladin\holybolt3.wav	0	0	0	0	0	224	224	100	100	0	0	1	0	6	0	0	0	12	1	0	0	50	0	0	1	0	0	25046	-1	-1	0	0	
quest_raiders_light_shaft	45	quest_raiders_light_shaft_hd	sfx/ambient/event-3d_sd	monster\scimitar\loop.wav	0	0	0	0	0	255	255	100	100	0	0	1	6	6	1	0	0	-1	1	0	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_tainted_sun_flash_1	46	quest_tainted_sun_flash_hd_1	sfx/ambient/event-3d_sd	quest\flash1.wav	0	0	0	0	0	255	255	100	100	3	0	0	0	0	1	0	0	0	1	0	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_tainted_sun_flash_2	47		sfx/ambient/event-3d_sd	quest\flash2.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	1	0	0	0	1	0	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_tainted_sun_flash_3	48		sfx/ambient/event-3d_sd	quest\flash3.wav	0	0	0	0	0	255	255	100	100	0	0	0	0	0	1	0	0	0	1	0	0	100	0	0	1	0	0	-1	-1	-1	0	0	
quest_tainted_sun_ball_1	49	quest_tainted_sun_ball_hd_1	sfx/ambient/event-3d_sd	quest\ball1.wav	0	0	0	0	0	255	255	100	100	3	0	1	4	12	0	0	0	24	1	0	0	50	0	0	1	0	0	-1	-1	-1	0	0	
quest_tainted_sun_ball_2	50		sfx/ambient/event-3d_sd	quest\ball2.wav	0	0	0	0	0	255	255	100	100	0	0	1	4	12	0	0	0	24	1	0	0	50	0	0	1	0	0	-1	-1	-1	0	0	
quest_tainted_sun_ball_3	51		sfx/ambient/event-3d_sd	quest\ball3.wav	0	0	0	0	0	255	255	100	100	0	0	1	4	12	0	0	0	24	1	0	0	50	0	0	1	0	0	-1	-1	-1	0	0	
scene_catacombs	52	catacombs_hd	sfx/ambient/scene-2d_sd	ambient\scene\catacombs.wav	0	0	1	0	0	150	150	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_cathedral	53	cathedral_hd	sfx/ambient/scene-2d_sd	ambient\scene\cathedral.wav	0	0	1	0	0	180	180	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_cave	54	cave_hd	sfx/ambient/scene-2d_sd	ambient\scene\cave.wav	0	0	1	0	0	179	179	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_crypt	55	crypt_hd	sfx/ambient/scene-2d_sd	ambient\scene\crypt.wav	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_desert_day	56	desertday_hd	sfx/ambient/scene-2d_sd	ambient\scene\desertday.wav	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_desert_night	57	desertnight_hd	sfx/ambient/scene-2d_sd	ambient\scene\desertnight.wav	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_harem	58	harem_hd	sfx/ambient/scene-2d_sd	ambient\scene\harem.wav	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_jungle_day	59	jungleday_hd	sfx/ambient/scene-2d_sd	ambient\scene\jungleday.wav	0	0	1	0	0	200	200	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_jungle_night	60	junglenight_hd	sfx/ambient/scene-2d_sd	ambient\scene\junglenight.wav	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_lava	61	lava_hd	sfx/ambient/scene-2d_sd	ambient\scene\lava.wav	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_mesa	62	mesa_hd	sfx/ambient/scene-2d_sd	ambient\scene\hell1.wav	0	0	1	0	0	201	201	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_monastery	63	monastery_hd	sfx/ambient/scene-2d_sd	ambient\scene\creepywind.wav	0	0	1	0	0	200	200	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_rain	64	rain_hd	sfx/ambient/scene-2d_sd	ambient\scene\rain2.wav	0	0	1	0	0	119	119	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_sewer	65	sewer_hd	sfx/ambient/scene-2d_sd	ambient\scene\sewer.wav	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_tavern_interior	66	tavern_interior_hd	sfx/ambient/scene-2d_sd	ambient\scene\cathedral.wav	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_tomb	67	tomb_hd	sfx/ambient/scene-2d_sd	ambient\scene\tomb.wav	0	0	1	0	0	201	201	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_town_3_day	68	town3day_hd	sfx/ambient/scene-2d_sd	ambient\scene\town3day.wav	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_town_3_night	69	town3night_hd	sfx/ambient/scene-2d_sd	ambient\scene\town3night.wav	0	0	1	0	0	255	255	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_wilderness_day	70	wilderness_day_2_hd	sfx/ambient/scene-2d_sd	ambient\scene\wilderness day 2.wav	0	0	1	0	0	80	80	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
scene_wilderness_night	71	wilderness_night_hd	sfx/ambient/scene-2d_sd	ambient\scene\wilderness night.wav	0	0	1	0	0	100	100	100	100	0	0	1	12	12	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1	0	0	
event_arcane_1	72	event_arcane_hd_9	sfx/ambient/event-3d_sd	ambient\event\wind6.wav	0	0	0	1	0	255	255	100	100	4	0	0	0	0	0	0	0	0	2	0	1	20	0	0	1	0	0	-1	-1	-1	0	0	
event_arcane_2	73		sfx/ambient/event-3d_sd	ambient\event\wind7.wav	0	0	0	1	0	255	255	100	100	0	0	0	0	0	0	0	0	0	2	0	1	20	0	0	1	0	0	-1	-1	-1	0	0	
event_arcane_3	74		sfx/ambient/event-3d_sd	ambient\event\wind8.wav	0	0	0	1	0	255	255	100	100	0	0	0	0	0	0	0	0	0	2	0	1	20	0	0	1	0	0	-1	-1	-1	0	0	
event_arcane_4	75		sfx/ambient/event-3d_sd	ambient\event\wind9.wav	0	0	0	1	0	255	255	100	100	0	0	0	0	0	0	0	0	0	2	0	1	20	0	0	1	0	0	-1	-1	-1	0	0	
event_arcane_5	76		sfx/ambient/event-3d_sd	none.wav	0	0	0	1	0	0	0	100	100	0	0	0	0	0	0	0	0	0	2	0	1	20	0	0	1	0	0	-1	-1	-1	0	0	
event_basement_1	77	event_basement_hd_1	sfx/ambient/event-3d_sd	ambient\event\wind1.wav	0	0	0	1	0	255	255	100	100	5	0	0	0	0	0	0	0	0	2	0	1	20	0	0	1	0	0	-1	-1	-1	0	0	
event_basement_2	78		sfx/ambient/event-3d_sd	ambient\event\wind2.wav	0	0	0	1	0	255	255	100	100	0	0	0	0	0	0	0	0	0	2	0	1	20	0	0	1	0	0	-1	-1	-1	0	0	
event_basement_3	79		sfx/ambient/event-3d_sd	ambient\event\wind3.wav	0	0	0	1	0	255	255	100	100	0	0	0	0	0	0	0	0	0	2	0	1	20	0	0	1	0	0	-1	-1	-1	0	0	
