pet type	group	basemax	warp	range	partysend	unsummon	automap	name	drawhp	icontype	baseicon	mclass1	micon1	mclass2	micon2	mclass3	micon3	mclass4	micon4
none																			
single		1	1		1		1												
valkyrie		0	1		1	1	1	StrUI4	1	2	valkarieicon								
golem		0	1		1	1	1	StrUI0	1	3	metalgolumicon	290	bloodgolumicon				firegolumicon		
skeleton		0	1		1	1	1	StrUI1	1	2	skeletonicon								
skeletonmage		0	1		1	1	1	StrUI2	1	2	skeletonmageicon								
revive		0	1		1	1	1	StrUI3	1	2	revivedicon								
hireable		1	1		1		1		1		rogueicon	338	act2hireableicon	359	act3hireableicon	561	barbhirable_icon		
dopplezon		0				1	1		1										
invis		0	1																
raven		0	1					strUI5		2	raven								
spiritwolf		0	1		1	1	1	strUI6	1	2	wolf								
fenris		0	1		1	1	1	UIFenirsui	1	2	wolf								
totem1	2	0	1		1	1	1	strUI14	1	2	oaksage	423	heartofwolverine						
plaguevine		0	1		1	1	1	strUI13p	1	2	plaguepoppy	426	cycleoflife						
grizzly		0	1		1	1	1	strUI7	1	1	bear								
shadowwarrior	3	0	1		1	1	1	UiShadowUI	1	2	shadowassassin								
assassintrap		0		1															
pettrap		0		1															
hydra		0		1															
ancientbarb		0	1		1	1	1	Ancient Barbarian 1	1	1	barbhirable_icon								
bloodgolem		0	1		1	1	1	StrUI0	1	2	bloodgolumicon								
claygolem		0	1		1	1	1	StrUI0	1	2	earthgolumicon								
firegolem		0	1		1	1	1	StrUI0	1	3	firegolumicon								
cyclevine		0	1		1	1	1	strUI13c	1	2	vines								
vines		0	1		1	1	1	strUI13v	1	2	cycleoflife								
waterelm		0	1		1	1	1	strUI7	1	2	bear								
totem2	2	0	1		1	1	1	strUI14	1	2	heartofwolverine								
totem3	2	0	1		1	1	1	strUI14	1	2	spiritofbarbs								
walkingdecoy		0	1		1	1	1	strUI15	1	2	barbhirable_icon								
shadowmaster	3	0	1		1	1	1	UiShadowUI	1	2	shadowassassin								
dopplezonnew		0		1		1	1	DopplezonNew	1	2	rogueicon								
defender		0	1		1	1	1	UIdefender	1	2	defender								
honor guard		0	1		1	1	1	strhgbar	1	1	honor_guard								
