Superunique	Name	Class	hcIdx	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC Desecrated	TC(N)	TC(N) Desecrated	TC(H)	TC(N) Desecrated	*eol
Bishibosh	Bishibosh	fallenshaman1	0		8	9	0	2	2	1	0		11	11	11	Act 1 Super B	Act 1 Super B	Act 1 (N) Super B	Act 1 (N) Super B	Act 1 (H) Super B	Act 1 (H) Super B	0
Bonebreak	Bonebreak	skeleton1	1		5	8	0	5	5	1	0		5	5	5	Act 1 Super B	Act 1 Super B	Act 1 (N) Super B	Act 1 (N) Super B	Act 1 (H) Super B	Act 1 (H) Super B	0
Coldcrow	Coldcrow	cr_archer1	2		18	0	0	4	4	1	0		18	18	18	Act 1 Super B	Act 1 Super B	Act 1 (N) Super B	Act 1 (N) Super B	Act 1 (H) Super B	Act 1 (H) Super B	0
Rakanishu	Rakanishu	fallen2	3		17	6	0	8	8	0	0	1	29	29	29	Act 1 Super B	Act 1 Super B	Act 1 (N) Super B	Act 1 (N) Super B	Act 1 (H) Super B	Act 1 (H) Super B	0
Treehead WoodFist	Treehead WoodFist	brute2	4		5	6	0	2	2	1	0	1	4	4	4	Treehead WoodFist	Treehead WoodFist	Treehead WoodFist (N)	Treehead WoodFist (N)	Treehead WoodFist (H)	Treehead WoodFist (H)	0
Griswold	Griswold	griswold	5		7	0	0	0	0	1	0	1	17	17	17	Griswold	Griswold	Griswold (N)	Griswold (N)	Griswold (H)	Griswold (H)	0
The Countess	The Countess	corruptrogue3	6	countess	9	0	0	6	6	1	0		16	16	16	Countess	Countess	Countess (N)	Countess (N)	Countess (H)	Countess (H)	0
Pitspawn Fouldog	Pitspawn Fouldog	bighead2	7		7	18	0	4	4	1	0		31	31	31	Act 2 Super A	Act 2 Super A	Act 2 (N) Super A	Act 2 (N) Super A	Act 2 (H) Super A	Act 2 (H) Super A	0
Flamespike the Crawler	Flamespike the Crawler	quillrat4	8		9	7	0	6	6	1	0		16	16	16	Act 2 Super A	Act 2 Super A	Act 2 (N) Super A	Act 2 (N) Super A	Act 2 (H) Super A	Act 2 (H) Super A	0
Boneash	Boneash	skmage_pois3	9		8	5	18	0	0	1	0		15	15	15	Act 2 Super A	Act 2 Super A	Act 2 (N) Super A	Act 2 (N) Super A	Act 2 (H) Super A	Act 2 (H) Super A	0
Radament	Radament	radament	10		6	0	0	3	3	1	0		30	30	30	Radament	Radament	Radament (N)	Radament (N)	Radament (H)	Radament (H)	0
Bloodwitch the Wild	Bloodwitch the Wild	bloodwitchthewild	11		5	6	7	8	8	1	0		29	29	29	Bloodwitch the Wild	Bloodwitch the Wild	Bloodwitch the Wild (N)	Bloodwitch the Wild (N)	Bloodwitch the Wild (H)	Bloodwitch the Wild (H)	0
Fangskin	Fangskin	clawviper3	12		17	6	0	4	4	1	0		14	14	14	Act 2 Super C	Act 2 Super C	Act 2 (N) Super C	Act 2 (N) Super C	Act 2 (H) Super C	Act 2 (H) Super C	0
Beetleburst	Beetleburst	scarab2	13		8	0	0	3	3	1	0	1	13	13	13	Act 2 Super C	Act 2 Super C	Act 2 (N) Super C	Act 2 (N) Super C	Act 2 (H) Super C	Act 2 (H) Super C	0
