name	version	compactsave	rarity	spawnable	minac	maxac	speed	reqstr	reqdex	block	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	normcode	ubercode	ultracode	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	stackable	minstack	maxstack	spawnstack	Transmogrify	TMogType	TMogMin	TMogMax	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight
Cap/hat	0	0	1	1	6	12	0	15	0	0	12	0	1	0	0	64	3016	cap	cap		320	cap	cap	xap	yap	0	2	2	1	2	1	flpcap	invcap	invcapu	invcap							0	0	0	0	0	0	xxx			helm		item_cap	12	item_cap	0	0	5	0	0	0	0		0	3	0	0	0			0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xap	yap	1		
Skull Cap	0	0	4	1	12	18	0	15	0	0	18	0	5	0	0	441	5551	skp	skp		320	skp	skp	xkp	ykp	0	2	2	1	2	1	flpskp	invskp									0	0	0	0	0	0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xkp	ykp	1		
Helm	0	0	4	1	18	27	0	26	0	0	24	0	11	0	0	1558	11142	hlm	hlm		320	hlm	hlm	xlm	ylm	0	2	2	1	2	1	flphlm	invhlm	invhlmu	invcap							0	0	0	0	0	0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255	1	3	1	3	20					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255	1	8	0	xlm	ylm	1		
Full Helm	0	0	4	1	30	42	0	41	0	0	30	0	15	0	0	3095	15803	fhl	fhl		320	fhl	fhl	xhl	yhl	0	2	2	1	2	1	flpfhl	invfhl	invfhlu	inveht							0	0	0	0	0	0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255	2	8	0	xhl	yhl	1		
Great Helm	0	0	4	1	48	69	5	50	0	0	40	0	23	0	0	4118	19839	ghm	ghm		320	ghm	ghm	xhm	yhm	0	2	2	1	3	1	flpghm	invghm		invhlmu							0	0	0	0	0	0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255			2	3	255					255					255					255					255					255					255					255					255					255					255	2	8	0	xhm	yhm	1		
Crown	0	0	4	1	54	78	5	55	0	0	50	0	27	0	0	8345	43751	crn	crn		320	crn	crn	xrn	yrn	0	2	2	1	3	1	flpcrn	invcrn									0	0	0	0	0	0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255			1	3	20					255					255					255	1	8	0	xrn	yrn	1		
Mask	0	0	4	1	36	51	0	23	0	0	20	0	19	0	0	2857	17785	msk	msk		320	msk	msk	xsk	ysk	0	2	2	1	3	1	flpmsk	invmsk		invbhm							0	0	0	0	0	0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255	5	8	0	xsk	ysk	1		
Quilted Armor	0	0	1	1	18	22	0	15	0	0	20	0	1	0	0	140	3035	qui	qui		320	qlt	qui	xui	yui	1	2	3	1	4	2	flpqlt	invqlt			0	0	0	0	1	1	0	0	0	0	0	0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xui	yui	1		
Leather Armor	0	0	2	1	23	29	0	15	0	0	24	0	3	0	0	481	4360	lea	lea		320	lea	lea	xea	yea	1	2	3	1	4	2	flplea	invlea			0	0	1	0	1	1	0	0	0	0	0	0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xea	yea	1		
Hard Leather Armor	0	0	3	1	30	38	0	20	0	0	28	0	5	0	0	1060	6325	hla	hla		320	hla	hla	xla	yla	1	2	3	1	4	2	flphla	invhla			1	1	1	0	1	1	0	0	0	0	0	0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xla	yla	1		
