Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Health	100	1	1	7	18	5				18	1	red-dmg		1	2									1	lred	amul	ring	armo	staf	wand						0	0	0
of Protection	100	1	1	18	26	18				18	1	red-dmg		3	4									1	lred	amul	ring	armo	staf	wand						0	0	0
of Absorption	100	1	1	26	35	24				18	1	red-dmg		5	6									1	dred	amul	ring	armo	staf	wand						0	0	0
of Life	100	1	1	35		33				18	1	red-dmg		7	14									1	dred	amul	ring	armo	staf	wand						0	0	0
of Anima	100	1	1	45		43				18	1	red-dmg		15	24									1	cred	amul	circ	tors	shld							0	0	0
of Life Everlasting	100	1	1	75		70				18	1	red-dmg		25	50									1	cred	amul	circ									0	0	0
of Warding	100	1	1	7	18	5				18	2	red-mag		1	2									1	lblu	ring	armo	staf	wand							0	0	0
of the Sentinel	100	1	1	18	26	12				18	2	red-mag		3	4									1	dblu	ring	armo	staf	wand							0	0	0
of Guarding	100	1	1	26		19				18	2	red-mag		5	12									1	dblu	ring	armo	staf	wand							0	0	0
of Negation	100	1	1	42		35				18	2	red-mag		13	24									1	cblu	circ	tors	shld								0	0	0
of Avoidance	100	1	1	9	15	6				18	3	ac-miss		50	100									1	whit	helm	tors	shld	boot	staf	wand					0	0	0
of Ducking	100	1	1	9	15	6				18	3	ac-hth		50	100									1	dgry	helm	tors	shld	boot	staf	wand					0	0	0
of Evasion	100	1	1	15	35	16				18	3	ac-miss		100	200									1	lgry	helm	tors	shld	boot	staf	wand					0	0	0
of Elusion	100	1	1	15	35	16				18	3	ac-hth		100	200									1	dgry	helm	tors	shld	boot	staf	wand					0	0	0
of Piercing	100	1	1	25		18				16	4	ignore-ac		1	1									1	blac	scep	knif	claw	asnx							0	0	0
of Puncturing	100	1	1	15	30	8				20	5	dmg-ac		-20	-50									1	lgry	weap										0	0	0
of Bashing	100	1	1	30	45	16				20	5	dmg-ac		-51	-120									1	lgry	weap										0	0	0
of Bashing	100	1	1	45		24				20	5	dmg-ac		-121	-200									1	lgry	weap										0	0	0
of Dummy	100	1	1	1		1				1	5	dmg-ac		0	0											xcha	ycha									0	0	0
of Thorns	100	1	1	14	21	10				20	6	thorns		10	40									1	oran	helm	tors	shld	belt							0	0	0
of Spikes	100	1	1	21	34	20				20	6	thorns		41	80									1	oran	helm	tors	shld	belt							0	0	0
of Razors	100	1	1	34	47	30				20	6	thorns		81	160									1	oran	circ	tors	shld								0	0	0
of Swords	100	1	1	47		45				20	6	thorns		161	320									1	oran	circ	tors	shld								0	0	0
of Readiness	100	1	1	5	25	3				20	7	swing1		10	10									1	dyel	weap	glov						staf	wand		0	0	0
of Alacrity	100	1	1	25		17				20	7	swing2		20	20									1	dyel	weap	glov						staf	wand		0	0	0
of Swiftness	100	1	1	34		26				20	7	swing2		30	30									1	dyel	mele							staf	wand		0	0	0
of Quickness	100	1	1	46		38				20	7	swing3		40	40									1	dyel	mele							staf	wand		0	0	0
of Blocking	100	1	1	1		1				76	8	block		10	10	block2		15	15					1	blac	shld										0	0	0
of Deflecting	100	1	1	11		8				76	8	block		20	20	block2		30	30					1	blac	shld										0	0	0
of the Apprentice	100	1	1	7		5				40	9	cast1		10	10									1	lblu	circ	rod	dclb	amul	ring						0	0	0
of the Magus	100	1	1	17		15				20	9	cast3		15	15									1	dblu	circ	rod									0	0	0
of the Magus	100	1	1	27		25				20	9	cast3		20	20									1	cblu	circ	rod									0	0	0
of Frost	100	1	1	4	25	3				16	10	cold-min		1	2	cold-max		3	11	cold-len		50	50	1	lblu	weap	amul	ring	belt							0	0	0
of the Icicle	100	1	1	15	34	15				16	10	cold-min		3	5	cold-max		12	35	cold-len		75	75	1	lblu	weap	amul	ring	belt							0	0	0
of the Glacier	100	1	1	25	50	27				16	10	cold-min		6	10	cold-max		36	70	cold-len		100	100	1	dblu	mele										0	0	0
