code	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	*Tooltip	*Parameter	*Min	*Max	*Notes
ac	1	1	armorclass																											+# Defense		Min #	Max #	
ac-miss	1	1	armorclass_vs_missile																											+# Defense vs. Missile		Min #	Max #	
ac-hth	1	1	armorclass_vs_hth																											+# Defense vs. Melee		Min #	Max #	
red-dmg	1	1	normal_damage_reduction																											Damage Reduced by #		Min #	Max #	
red-dmg%	1	1	damageresist																											Damage Reduced by #%		Min %	Max %	
ac%	1	2	item_armor_percent																											+#% Enhanced Defense		Min %	Max %	
red-mag	1	1	magic_damage_reduction																											Magic Damage Reduced by #		Min #	Max #	
str	1	1	strength																											+# to Strength		Min #	Max #	
dex	1	1	dexterity																											+# to Dexterity		Min #	Max #	
vit	1	1	vitality																											+# to Vitality		Min #	Max #	
enr	1	1	energy																											+# to Energy		Min #	Max #	
mana	1	1	maxmana																											+# to Mana		Min #	Max #	
mana%	1	1	item_maxmana_percent																											Increase Maximum Mana #%		Min %	Max %	
hp	1	1	maxhp																											+# to Life		Min #	Max #	
hp%	1	1	item_maxhp_percent																											Increase Maximum Life #%		Min %	Max %	
att	1	1	tohit																											+# to Attack Rating		Min #	Max #	
block	1	1	toblock																											#% Increased Chance of Blocking		Min %	Max %	
cold-min	1	1	coldmindam																											+# to Minimum Cold Damage		Min #	Max #	
cold-max	1	1	coldmaxdam																											+# to Maximum Cold Damage		Min #	Max #	
cold-len	1	1	coldlength																													Min #	Max #	# of Frames (25 Frames = 1 Second)
fire-min	1	1	firemindam																											+# to Minimum Fire Damage		Min #	Max #	
fire-max	1	1	firemaxdam																											+# to Maximum Fire Damage		Min #	Max #	
ltng-min	1	1	lightmindam																											+# to Minimum Lightning Damage		Min #	Max #	
ltng-max	1	1	lightmaxdam																											+# to Maximum Lightning Damage		Min #	Max #	
pois-min	1	1	poisonmindam																											+# to Minimum Poison Damage		Min #	Max #	
pois-max	1	1	poisonmaxdam																											+# to Maximum Poison Damage		Min #	Max #	
pois-len	1	1	poisonlength																													Min #	Max #	# of Frames (25 Frames = 1 Second)
dmg-min	1	5																												+# to Minimum Damage		Min #	Max #	
dmg-max	1	6																												+# to Maximum Damage		Min #	Max #	
dmg%	1	7																												+#% Enhanced Damage		Min %	Max %	
dmg-to-mana	1	1	item_damagetomana																											#% Damage Taken Goes To Mana		Min %	Max %	
res-fire	1	1	fireresist																											Fire Resist +#%		Min %	Max %	
res-fire-max	1	1	maxfireresist																											+#% to Maximum Fire Resist		Min %	Max %	
res-ltng	1	1	lightresist																											Lightning Resist +#%		Min %	Max %	
res-ltng-max	1	1	maxlightresist																											+#% to Maximum Lightning Resist		Min %	Max %	
res-cold	1	1	coldresist																											Cold Resist +#%		Min %	Max %	
res-cold-max	1	1	maxcoldresist																											+#% to Maximum Cold Resist		Min %	Max %	
res-mag	1	1	magicresist																											Magic Resist +#%		Min %	Max %	
res-mag-max	1	1	maxmagicresist																											+#% to Maximum Magic Resist		Min %	Max %	
res-pois	1	1	poisonresist																											Poison Resist +#%		Min %	Max %	
res-pois-max	1	1	maxpoisonresist																											+#% to Maximum Poison Resist		Min %	Max %	
res-all	1	1	fireresist			3	lightresist			3	coldresist			3	poisonresist															All Resistances +#		Min %	Max %	
res-all-max	1	1	maxfireresist			3	maxlightresist			3	maxcoldresist			3	maxpoisonresist																	Min %	Max %	Currently Not Used
abs-fire%	1	1	item_absorbfire_percent																											+# Fire Absorb		Min #	Max #	
abs-fire	1	1	item_absorbfire																											Fire Absorb #%		Min %	Max %	
abs-ltng%	1	1	item_absorblight_percent																											+# Lightning Absorb		Min #	Max #	
abs-ltng	1	1	item_absorblight																											Lightning Absorb #%		Min %	Max %	
