Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ladder	noAlwaysSpawn	*eol
Gold			1						"gld,mul=1024"	1																								0
Nothing			0																															0
Ammo			1						aq2	1	cq2	1																						0
Misc 0			1						key	6	tsc	4	isc	4	vps	1	yps	2	wms	1														0
Misc 1			1						key	6	tsc	4	isc	4	vps	1	yps	2	wms	1														0
Misc 2			1						key	6	tsc	4	isc	4	vps	1	yps	2	wms	1														0
Potion 1			1						hp1	12	hp2	4	mp1	6	mp2	2	rvs	1																0
Potion 2			1						hp1	4	hp2	8	hp3	4	mp1	2	mp2	4	mp3	2	rvs	1												0
Potion 3			1						hp2	8	hp3	8	mp2	4	mp3	4	rvs	1																0
Potion 4			1						hp2	4	hp3	8	hp4	4	mp2	2	mp3	4	mp4	2	rvs	1												0
Potion 5			1						hp4	8	mp4	4	rvs	1																				0
Potion 6			1						hp3	4	hp4	8	hp5	4	mp3	2	mp4	4	mp5	2	rvs	1												0
Potion 7			1						hp4	8	hp5	8	mp4	4	mp5	4	rvs	1																0
Act 1 Junk			1						Potion 1	8	Misc 0	3	Ammo	1																				0
Act 2 Junk			1						Potion 2	8	Misc 0	3	Ammo	1																				0
Act 3 Junk			1						Potion 3	8	Misc 1	3	Ammo	1																				0
Act 4 Junk			1						Potion 4	8	Misc 1	3	Ammo	1																				0
Act 5 Junk			1						Potion 5	8	Misc 2	3	Ammo	1																				0
Act 1 (N) Junk			1						Potion 6	8	Misc 2	3	Ammo	1																				0
Act 2 (N) Junk			1						Potion 6	8	Misc 2	3	Ammo	1																				0
Act 3 (N) Junk			1						Potion 6	8	Misc 2	3	Ammo	1																				0
Act 4 (N) Junk			1						Potion 6	8	Misc 2	3	Ammo	1																				0
Act 5 (N) Junk			1						Potion 6	8	Misc 2	3	Ammo	1																				0
Act 1 (H) Junk			1						Potion 7	8	Misc 2	3	Ammo	1																				0
Act 2 (H) Junk			1						Potion 7	8	Misc 2	3	Ammo	1																				0
Act 3 (H) Junk			1						Potion 7	8	Misc 2	3	Ammo	1																				0
Act 4 (H) Junk			1						Potion 7	8	Misc 2	3	Ammo	1																				0
Act 5 (H) Junk			1						Potion 7	8	Misc 2	3	Ammo	1																				0
Class Rings			1						srn	1	brg	1	nrn	1	prn	1	drn	1	zrn	1	arn	1												0
Rings			1						rin	2	Class Rings	1																						0
Class Amulets			1						sam	1	bam	1	nam	1	pam	1	dam	1	zam	1	aam	1												0
Amulets			1						amu	2	Class Amulets	1																						0
Unique Charm 1			1	1024					The Perfect Cell	6	Yello Jello	6	Lothar's Will	6	Deviant Cell	4																		0
Unique Charm 2			1	1024					The Perfect Cell	6	Yello Jello	6	Lothar's Will	6	Gheed's Fortune	5	Deviant Cell	4	Vlad Tepe's Sustenance	1	Something Wicked	1	The Unknown Hero	1										0
DDD6			-6						ddd	1	ddd	1	ddd	1	ddd	1	ddd	1	ddd	1														0
DDD5			-5						ddd	1	ddd	1	ddd	1	ddd	1	ddd	1																0
DDD4			-4						ddd	1	ddd	1	ddd	1	ddd	1																		0
DDD3			-3						ddd	1	ddd	1	ddd	1																				0
DDD2			-2						ddd	1	ddd	1																						0
DDD1			-1						ddd	64	DDD2	16	DDD3	8	DDD4	4	DDD5	2	DDD6	1														0
Jewelry A			1						Rings	72	Amulets	48	jew	36	ppp	9	cx1	24	cx2	24	cx3	24	DDD1	18	sdo	1								0
Jewelry B			1						Jewelry A	129	Unique Charm 1	1																						0
Jewelry C			1						Jewelry A	129	Unique Charm 2	1																						0
Chipped Gem			1						gcv	1	gcy	1	gcb	1	gcg	1	gcr	1	gcw	1	skc	1	gck	1										0
Flawed Gem			1						gfv	1	gfy	1	gfb	1	gfg	1	gfr	1	gfw	1	skf	1	gfk	1										0
Normal Gem			1						gsv	1	gsy	1	gsb	1	gsg	1	gsr	1	gsw	1	sku	1	gsk	1										0
Flawless Gem			1						gzv	1	gly	1	glb	1	glg	1	glr	1	glw	1	skl	1	gzk	1										0
Blemished Gem			1						gpv	1	gpy	1	gpb	1	gpg	1	gpr	1	gpw	1	skz	1	gpk	1										0
Perfect Gem			1						gvb	1	gyb	1	gbb	1	ggb	1	grb	1	gwb	1	skb	1	gpk	1										0
Ore			1						Uni Ore 12	1	Uni Ore 13	1	Uni Ore 14	1	Uni Ore 15	1																		0
Special Craft Stuff			2						ddd	1	Ore	1	yyy	1	ppp	1	Perfect Gem	1																0
Special Craft StuffN			2						ddd	1	Ore	1	yyy	1	ppp	1	Perfect Gem	1																0
Special Craft StuffH			2						qqq	1	ddd	1	Ore	1	yyy	1	ppp	1	Perfect Gem	1														0
Runes 1			1						r01	35	r02	30	r03	25	01l	7	02l	6	03l	5														0
Runes 2			1						r04	35	r05	30	r06	25	04l	7	05l	6	06l	5	Runes 1	150												0
Runes 3			1						r07	35	r08	30	r09	25	07l	6	08l	5	Runes 2	250														0
Runes 4			1						r10	35	r11	30	r12	25	09l	6	10l	5	Runes 3	350														0
Runes 5			1						r13	35	r14	30	r15	25	11l	6	12l	5	Runes 4	450														0
Runes 6			1						r16	35	r17	30	r18	25	13l	6	14l	5	Runes 5	600														0
Runes 7			1						r19	35	r20	30	r21	25	15l	6	16l	5	Runes 6	750														0
Runes 8			1						r22	35	r23	30	r24	25	17l	6	18l	5	Runes 7	950														0
Runes 9			1						r25	28	r26	26	r27	24	19l	6	20l	5	Runes 8	1200														0
Runes 10			1						r28	26	r29	24	r30	22	21l	5	22l	4	Runes 9	1450														0
Runes 11			1						r31	24	r32	22	r33	20	23l	5	24l	4	Runes 10	1750														0
Runes 12			1						r34	22	r35	20	r36	18	25l	5	26l	4	Runes 11	2000														0
Runes 13			1						r37	20	r38	18	r39	16	27l	4	28l	3	Runes 12	2400														0
Runes 14			1						r40	18	r41	16	r42	14	29l	4	30l	3	Runes 13	2800														0
Runes 15			1						r43	16	r44	14	r45	12	31l	4	32l	3	Runes 14	3200														0
Runes 16			1						r50	8	r46	10	33l	3	Runes 15	3600																		0
Rune JP (Norm)			-6						Runes 6	6																								0
Rune JP (NM)			-6						Runes 11	6																								0
Rune JP (H)			-6						Runes 16	6																								0
Scrolls 1			1						01b	6	02b	6	03b	6																				0
Scrolls 2			1						04b	6	05b	6	06b	6	Scrolls 1	18																		0
Scrolls 3			1						07b	6	08b	6	09b	6	Scrolls 2	36																		0
Scrolls 4			1						10b	6	11b	6	12b	6	Scrolls 3	54																		0
Scrolls 5			1						13b	6	14b	6	15b	6	Scrolls 4	72																		0
Scrolls 6			1						16b	6	17b	6	18b	6	Scrolls 5	90																		0
Scrolls 7			1						19b	6	20b	6	21b	6	Scrolls 6	108																		0
Scrolls 8			1						22b	6	23b	6	24b	6	Scrolls 7	126																		0
Scrolls 9			1						25b	6	26b	6	27b	6	Scrolls 8	144																		0
Scrolls 10			1						28b	6	29b	6	30b	6	Scrolls 9	162																		0
Scrolls 11			1						31b	6	32b	6	33b	6	Scrolls 10	180																		0
Scrolls 12			1						34b	6	35b	6	36b	6	Scrolls 11	198																		0
Scrolls 13			1						37b	6	38b	6	39b	6	Scrolls 12	216																		0
Scrolls 14			1						40b	6	41b	6	42b	6	Scrolls 13	234																		0
Scrolls 15			1						43b	6	44b	6	45b	6	Scrolls 14	252																		0
Scrolls 16			1						46b	6	47b	6	48b	6	Scrolls 15	270																		0
Scrolls 17			1						49b	6	50b	6	Scrolls 16	288																				0
Act 1 Good	5	0	1						Jewelry A	60	Chipped Gem	48	Runes 1	7	Runes 2	8	wss	1																0
Act 2 Good	5	12	1						Jewelry A	68	Flawed Gem	14	Runes 2	6	Runes 3	7	wss	1																0
Act 3 Good	5	18	1						Jewelry A	68	Flawed Gem	21	Runes 3	6	Runes 4	7	wss	1																0
Act 4 Good	5	26	1						Jewelry A	68	Normal Gem	18	Runes 4	6	Runes 5	7	wss	1																0
Act 5 Good	5	32	1						Jewelry A	68	Normal Gem	16	Flawless Gem	8	Runes 7	12	wss	1																0
